Fixture ID,Game Date,Home Team ID,Away Team ID,Home Team Goals,Away Team Goals,Venue,Home Team,Away Team,Home Team Logo,Away Team Logo
261,2018-12-30,33.0,35.0,4,1,"Old Trafford, Manchester",Manchester United,Bournemouth,https://media.api-sports.io/football/teams/33.png,https://media.api-sports.io/football/teams/35.png
269,2019-01-01,45.0,46.0,0,1,Goodison Park,Everton,Leicester,https://media.api-sports.io/football/teams/45.png,https://media.api-sports.io/football/teams/46.png
265,2019-01-01,42.0,36.0,4,1,Emirates Stadium,Arsenal,Fulham,https://media.api-sports.io/football/teams/42.png,https://media.api-sports.io/football/teams/36.png
267,2019-01-01,43.0,47.0,0,3,Cardiff City Stadium,Cardiff,Tottenham,https://media.api-sports.io/football/teams/43.png,https://media.api-sports.io/football/teams/47.png
268,2019-01-02,49.0,41.0,0,0,Stamford Bridge,Chelsea,Southampton,https://media.api-sports.io/football/teams/49.png,https://media.api-sports.io/football/teams/41.png
270,2019-01-02,37.0,44.0,1,2,John Smith's Stadium,Huddersfield,Burnley,https://media.api-sports.io/football/teams/37.png,https://media.api-sports.io/football/teams/44.png
273,2019-01-02,48.0,51.0,2,2,London Stadium,West Ham,Brighton,https://media.api-sports.io/football/teams/48.png,https://media.api-sports.io/football/teams/51.png
274,2019-01-02,39.0,52.0,0,2,Molineux Stadium,Wolves,Crystal Palace,https://media.api-sports.io/football/teams/39.png,https://media.api-sports.io/football/teams/52.png
266,2019-01-02,35.0,38.0,3,3,Vitality Stadium,Bournemouth,Watford,https://media.api-sports.io/football/teams/35.png,https://media.api-sports.io/football/teams/38.png
272,2019-01-02,34.0,33.0,0,2,St James' Park,Newcastle,Manchester United,https://media.api-sports.io/football/teams/34.png,https://media.api-sports.io/football/teams/33.png
271,2019-01-03,50.0,40.0,2,1,Etihad Stadium,Manchester City,Liverpool,https://media.api-sports.io/football/teams/50.png,https://media.api-sports.io/football/teams/40.png
284,2019-01-12,48.0,42.0,1,0,London Stadium,West Ham,Arsenal,https://media.api-sports.io/football/teams/48.png,https://media.api-sports.io/football/teams/42.png
275,2019-01-12,51.0,40.0,0,1,American Express Community Stadium,Brighton,Liverpool,https://media.api-sports.io/football/teams/51.png,https://media.api-sports.io/football/teams/40.png
276,2019-01-12,44.0,36.0,2,1,Turf Moor,Burnley,Fulham,https://media.api-sports.io/football/teams/44.png,https://media.api-sports.io/football/teams/36.png
277,2019-01-12,43.0,37.0,0,0,Cardiff City Stadium,Cardiff,Huddersfield,https://media.api-sports.io/football/teams/43.png,https://media.api-sports.io/football/teams/37.png
279,2019-01-12,52.0,38.0,1,2,Selhurst Park,Crystal Palace,Watford,https://media.api-sports.io/football/teams/52.png,https://media.api-sports.io/football/teams/38.png
281,2019-01-12,46.0,41.0,1,2,King Power Stadium,Leicester,Southampton,https://media.api-sports.io/football/teams/46.png,https://media.api-sports.io/football/teams/41.png
278,2019-01-12,49.0,34.0,2,1,Stamford Bridge,Chelsea,Newcastle,https://media.api-sports.io/football/teams/49.png,https://media.api-sports.io/football/teams/34.png
280,2019-01-13,45.0,35.0,2,0,Goodison Park,Everton,Bournemouth,https://media.api-sports.io/football/teams/45.png,https://media.api-sports.io/football/teams/35.png
283,2019-01-13,47.0,33.0,0,1,Wembley Stadium,Tottenham,Manchester United,https://media.api-sports.io/football/teams/47.png,https://media.api-sports.io/football/teams/33.png
282,2019-01-14,50.0,39.0,3,0,Etihad Stadium,Manchester City,Wolves,https://media.api-sports.io/football/teams/50.png,https://media.api-sports.io/football/teams/39.png
294,2019-01-19,39.0,46.0,4,3,Molineux Stadium,Wolves,Leicester,https://media.api-sports.io/football/teams/39.png,https://media.api-sports.io/football/teams/46.png
286,2019-01-19,35.0,48.0,2,0,Vitality Stadium,Bournemouth,West Ham,https://media.api-sports.io/football/teams/35.png,https://media.api-sports.io/football/teams/48.png
289,2019-01-19,40.0,52.0,4,3,Anfield,Liverpool,Crystal Palace,https://media.api-sports.io/football/teams/40.png,https://media.api-sports.io/football/teams/52.png
290,2019-01-19,33.0,51.0,2,1,Old Trafford,Manchester United,Brighton,https://media.api-sports.io/football/teams/33.png,https://media.api-sports.io/football/teams/51.png
291,2019-01-19,34.0,43.0,3,0,St James' Park,Newcastle,Cardiff,https://media.api-sports.io/football/teams/34.png,https://media.api-sports.io/football/teams/43.png
292,2019-01-19,41.0,45.0,2,1,St. Mary's Stadium,Southampton,Everton,https://media.api-sports.io/football/teams/41.png,https://media.api-sports.io/football/teams/45.png
293,2019-01-19,38.0,44.0,0,0,Vicarage Road,Watford,Burnley,https://media.api-sports.io/football/teams/38.png,https://media.api-sports.io/football/teams/44.png
285,2019-01-19,42.0,49.0,2,0,Emirates Stadium,Arsenal,Chelsea,https://media.api-sports.io/football/teams/42.png,https://media.api-sports.io/football/teams/49.png
288,2019-01-20,37.0,50.0,0,3,John Smith's Stadium,Huddersfield,Manchester City,https://media.api-sports.io/football/teams/37.png,https://media.api-sports.io/football/teams/50.png
287,2019-01-20,36.0,47.0,1,2,Craven Cottage,Fulham,Tottenham,https://media.api-sports.io/football/teams/36.png,https://media.api-sports.io/football/teams/47.png
295,2019-01-29,42.0,43.0,2,1,Emirates Stadium,Arsenal,Cardiff,https://media.api-sports.io/football/teams/42.png,https://media.api-sports.io/football/teams/43.png
297,2019-01-29,36.0,51.0,4,2,Craven Cottage,Fulham,Brighton,https://media.api-sports.io/football/teams/36.png,https://media.api-sports.io/football/teams/51.png
298,2019-01-29,37.0,45.0,0,1,John Smith's Stadium,Huddersfield,Everton,https://media.api-sports.io/football/teams/37.png,https://media.api-sports.io/football/teams/45.png
299,2019-01-29,39.0,48.0,3,0,Molineux Stadium,Wolves,West Ham,https://media.api-sports.io/football/teams/39.png,https://media.api-sports.io/football/teams/48.png
300,2019-01-29,33.0,44.0,2,2,Old Trafford,Manchester United,Burnley,https://media.api-sports.io/football/teams/33.png,https://media.api-sports.io/football/teams/44.png
301,2019-01-29,34.0,50.0,2,1,St James' Park,Newcastle,Manchester City,https://media.api-sports.io/football/teams/34.png,https://media.api-sports.io/football/teams/50.png
296,2019-01-30,35.0,49.0,4,0,Vitality Stadium,Bournemouth,Chelsea,https://media.api-sports.io/football/teams/35.png,https://media.api-sports.io/football/teams/49.png
302,2019-01-30,41.0,52.0,1,1,St. Mary's Stadium,Southampton,Crystal Palace,https://media.api-sports.io/football/teams/41.png,https://media.api-sports.io/football/teams/52.png
303,2019-01-30,40.0,46.0,1,1,Anfield,Liverpool,Leicester,https://media.api-sports.io/football/teams/40.png,https://media.api-sports.io/football/teams/46.png
304,2019-01-30,47.0,38.0,2,1,Wembley Stadium,Tottenham,Watford,https://media.api-sports.io/football/teams/47.png,https://media.api-sports.io/football/teams/38.png
313,2019-02-02,47.0,34.0,1,0,Wembley Stadium,Tottenham,Newcastle,https://media.api-sports.io/football/teams/47.png,https://media.api-sports.io/football/teams/34.png
